"Unique ID","Q2 - Did you switch careers into Data?",Satisfaction_Salary,Satisfaction_WorkLife,Satisfaction_Coworkers,Satisfaction_Management,Satisfaction_Upward,Satisfaction_Learning,"Q7 - How difficult was it for you to break into Data?",Q8_Most_Important_Thing,"Q9 - Male/Female?","Q11 - Which Country do you live in?","Q12 - Highest Level of Education","Q4 - What Industry do you work in?",Current_Role,min_salary,max_salary,avg_salary,Favorite_Language,Clean_Date,Age,"Q10 - Current Age",Age_Brackets,Clean_Ethnicity
62a349bbf8f756164585400d,Yes,3.0,6.0,6.0,6.0,4.0,4.0,Easy,"Better Salary",Male,Canada,Bachelors,"Supply Chain","Data Analyst",41000,65000,53000.0000,SQL,2022-06-10,25,25,21-25,"Asian / Asian American"
62a349c7cec54911e9ca67c7,Yes,5.0,1.0,4.0,3.0,3.0,4.0,Easy,"Better Salary",Female,"United States",Bachelors,"Finance / Banking","Data Analyst",106000,125000,115500.0000,Python,2022-06-10,38,38,36-40,"White / Caucasian"
62a349d5d8c00e9f5419ead2,No,5.0,5.0,5.0,5.0,4.0,5.0,"Neither easy nor difficult","Good Culture",Male,Netherlands,Bachelors,"Finance / Banking","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,30,30,26-30,"Hispanic / Latino"
62a349e6b4da29969c63000c,Yes,0.0,0.0,0.0,2.0,2.0,5.0,"Neither easy nor difficult","Good Work/Life Balance",Male,India,Bachelors,"Tech / IT","Data Analyst",0,40000,20000.0000,"C / C++",2022-06-10,25,25,21-25,"Asian / Asian American"
62a34a03cec54911e9ca6869,Yes,1.0,2.0,1.0,5.0,6.0,6.0,"Neither easy nor difficult","Better Salary",Female,Nigeria,Bachelors,"Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,29,29,26-30,"Black / African"
62a34ab15d257a28a30d9589,Yes,7.0,5.0,3.0,6.0,4.0,4.0,Difficult,"Good Work/Life Balance",Male,Portugal,Masters,"Finance / Banking","Data Scientist",150000,225000,187500.0000,Python,2022-06-10,21,21,21-25,"White / Caucasian"
62a34abc0f8c8599d5af31c5,Yes,5.0,8.0,8.0,7.0,6.0,7.0,"Very Easy","Remote Work",Female,"United States",Bachelors,Distribution,"Data Analyst",66000,85000,75500.0000,SQL,2022-06-10,39,39,36-40,"Asian / Asian American"
62a34b07cec54911e9ca6b6e,No,0.0,0.0,0.0,0.0,0.0,5.0,"Neither easy nor difficult","Better Salary",Male,Turkey,Bachelors,"Not Specified","Student / Job Seeker",0,40000,20000.0000,Python,2022-06-10,25,25,21-25,"White / Caucasian"
62a34b0eb4da29969c6302ce,Yes,7.0,9.0,10.0,6.0,4.0,4.0,"Neither easy nor difficult","Growth & Learning",Female,"United States",Masters,"Finance / Banking",Other,86000,105000,95500.0000,Other,2022-06-10,42,42,41-50,"Hispanic / Latino"
62a34b1b0f8c8599d5af328b,No,10.0,8.0,9.0,10.0,10.0,10.0,Easy,"Better Salary",Male,"United States",Bachelors,"Tech / IT","Data Analyst",41000,65000,53000.0000,R,2022-06-10,25,25,21-25,"White / Caucasian"
62a34b5b5d257a28a30d96a6,No,8.0,7.0,6.0,6.0,5.0,9.0,"Neither easy nor difficult","Better Salary",Male,"United States",Bachelors,"Finance / Banking","Data Scientist",86000,105000,95500.0000,Python,2022-06-10,22,22,21-25,"White / Caucasian"
62a34b7ebae91e4b8b83076c,No,1.0,4.0,4.0,3.0,,5.0,Easy,"Better Salary",Male,Colombia,"High School","Customer Service","Data Analyst",0,40000,20000.0000,Python,2022-06-10,23,23,21-25,"Hispanic / Latino"
62a34b99cec54911e9ca6e14,Yes,6.0,6.0,6.0,6.0,6.0,6.0,Difficult,"Good Culture",Male,Egypt,"High School","Retail / E-Commerce","Data Engineer",41000,65000,53000.0000,JavaScript,2022-06-10,25,25,21-25,Other
62a34bb0f3072dd892624210,Yes,5.0,7.0,7.0,6.0,6.0,7.0,"Neither easy nor difficult","Better Salary",Male,Canada,Masters,Consulting,"Data Engineer",66000,85000,75500.0000,Python,2022-06-10,45,45,41-50,"White / Caucasian"
62a34bd0cf2555431730208b,Yes,7.0,3.0,8.0,6.0,8.0,8.0,Easy,"Good Work/Life Balance",Male,"United States",Bachelors,Healthcare,"Data Analyst",66000,85000,75500.0000,SQL,2022-06-10,24,24,21-25,"White / Caucasian"
62a34bd4f408bae018ed57bd,No,1.0,9.0,6.0,0.0,0.0,0.0,Difficult,"Better Salary",Male,"United States","Not Specified","Legal & Public Sector","Student / Job Seeker",0,40000,20000.0000,R,2022-06-10,25,25,21-25,"Black / African"
62a34c66b4da29969c6305af,Yes,9.0,8.0,9.0,9.0,8.0,8.0,Difficult,"Good Work/Life Balance",Male,"United States",Bachelors,Marketing,"Data Analyst",66000,85000,75500.0000,Python,2022-06-10,26,26,26-30,"White / Caucasian"
62a34d1ff8f756164585465c,No,4.0,7.0,8.0,8.0,5.0,7.0,Easy,"Better Salary",Male,Canada,Bachelors,"Tech / IT","Data Analyst",41000,65000,53000.0000,R,2022-06-10,23,23,21-25,"Asian / Asian American"
62a34d4118134ddc75ceb0ed,Yes,1.0,1.0,1.0,0.0,0.0,3.0,Difficult,"Remote Work",Female,"United Kingdom",Masters,Entertainment,"Student / Job Seeker",0,40000,20000.0000,Python,2022-06-10,42,42,41-50,"White / Caucasian"
62a34da0f408bae018ed5abd,Yes,0.0,0.0,2.0,0.0,0.0,0.0,"Very Difficult","Good Work/Life Balance",Female,"United States",Bachelors,Education,Other,41000,65000,53000.0000,Other,2022-06-10,42,42,41-50,"Black / African"
62a34dbb5d257a28a30d9a61,No,0.0,6.0,5.0,5.0,3.0,1.0,"Neither easy nor difficult","Better Salary",Male,India,Masters,"Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,25,25,21-25,"Asian / Asian American"
62a34e00f8f7561645854954,Yes,8.0,10.0,10.0,10.0,2.0,7.0,Easy,"Remote Work",Male,"United States",Masters,"Tech / IT","Data Analyst",86000,105000,95500.0000,R,2022-06-10,38,38,36-40,"White / Caucasian"
62a34e082e54c9003e534118,No,5.0,6.0,6.0,6.0,6.0,4.0,Easy,"Better Salary",Male,"Costa Rica",Bachelors,"Tech / IT",Other,0,40000,20000.0000,Python,2022-06-10,24,24,21-25,"Hispanic / Latino"
62a34eb7bc6861bf3176e6d8,Yes,7.0,10.0,10.0,10.0,8.0,10.0,"Neither easy nor difficult","Good Work/Life Balance",Male,"United States",Bachelors,Education,"Data Analyst",66000,85000,75500.0000,R,2022-06-10,28,28,26-30,"White / Caucasian"
62a34f2af8f7561645854c1c,No,1.0,2.0,8.0,7.0,0.0,0.0,Difficult,"Better Salary",Male,"United States",Bachelors,Healthcare,"Data Analyst",41000,65000,53000.0000,Python,2022-06-10,21,21,21-25,"Asian / Asian American"
62a34f3bf408bae018ed5e42,Yes,10.0,10.0,10.0,10.0,10.0,10.0,"Very Easy","Good Culture",Male,"United States",Masters,Healthcare,"Data Analyst",106000,125000,115500.0000,R,2022-06-10,39,39,36-40,"White / Caucasian"
62a34fa418134ddc75ceb509,Yes,4.0,5.0,5.0,5.0,6.0,8.0,Difficult,"Good Work/Life Balance",Male,Pakistan,Bachelors,"Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,23,23,21-25,"Asian / Asian American"
62a34fbacec54911e9ca776f,No,1.0,6.0,4.0,3.0,5.0,6.0,"Neither easy nor difficult","Good Work/Life Balance",Female,Australia,Bachelors,"Government / Non-Profit","Data Analyst",0,40000,20000.0000,R,2022-06-10,23,23,21-25,"White / Caucasian"
62a34fc3f3072dd892624a45,Yes,8.0,9.0,8.0,7.0,7.0,8.0,"Neither easy nor difficult","Good Work/Life Balance",Male,"United States",Masters,Distribution,"Data Analyst",66000,85000,75500.0000,R,2022-06-10,30,30,26-30,"White / Caucasian"
62a34ff1f408bae018ed601d,No,2.0,6.0,2.0,3.0,2.0,2.0,Easy,"Better Salary",Male,Ireland,Masters,Manufacturing,"Data Analyst",41000,65000,53000.0000,Python,2022-06-10,26,26,26-30,"White / Caucasian"
62a34ff4f3072dd892624b32,Yes,3.0,6.0,4.0,6.0,4.0,6.0,"Neither easy nor difficult","Better Salary",Male,"United States",Bachelors,Healthcare,"Data Analyst",41000,65000,53000.0000,R,2022-06-10,37,37,36-40,"White / Caucasian"
62a3505bd8c00e9f5419f8df,Yes,3.0,5.0,4.0,5.0,4.0,4.0,"Neither easy nor difficult","Better Salary",Female,"United States",Bachelors,Healthcare,"Data Analyst",66000,85000,75500.0000,Python,2022-06-10,31,31,31-35,"White / Caucasian"
62a350f7f3072dd892624d05,Yes,5.0,2.0,4.0,3.0,3.0,3.0,Difficult,"Good Work/Life Balance",Female,"South Africa",Bachelors,"Finance / Banking","Data Analyst",0,40000,20000.0000,"C / C++",2022-06-10,25,25,21-25,"Black / African"
62a35130f3072dd892624d9f,Yes,2.0,6.0,6.0,5.0,4.0,5.0,Easy,"Better Salary",Female,Poland,Bachelors,Healthcare,"Data Analyst",0,40000,20000.0000,Python,2022-06-10,26,26,26-30,"White / Caucasian"
62a351860a77c1a77f65e86b,Yes,7.0,8.0,8.0,8.0,8.0,7.0,"Very Easy","Better Salary",Male,"United States",Bachelors,Healthcare,"Data Analyst",66000,85000,75500.0000,SQL,2022-06-10,30,30,26-30,"White / Caucasian"
62a3519b24a262602738514a,Yes,9.0,10.0,10.0,10.0,7.0,9.0,"Neither easy nor difficult","Better Salary",Female,"United States",Bachelors,"Tech / IT","Data Analyst",66000,85000,75500.0000,Python,2022-06-10,39,39,36-40,"Black / African"
62a35236b4da29969c631214,No,1.0,1.0,1.0,0.0,0.0,2.0,Easy,"Good Work/Life Balance",Female,India,Masters,Education,Other,0,40000,20000.0000,Python,2022-06-10,28,28,26-30,"Asian / Asian American"
62a352a32e54c9003e534981,Yes,8.0,8.0,7.0,7.0,10.0,10.0,"Very Easy","Good Work/Life Balance",Male,"United States",Bachelors,"Finance / Banking","Data Analyst",66000,85000,75500.0000,SQL,2022-06-10,22,22,21-25,"White / Caucasian"
62a352f00a77c1a77f65eae7,Yes,3.0,2.0,4.0,2.0,2.0,2.0,"Neither easy nor difficult","Good Culture",Male,Mozambique,Bachelors,"Retail / E-Commerce","Data Analyst",0,40000,20000.0000,Python,2022-06-10,28,28,26-30,"Black / African"
62a353372e54c9003e534a40,No,8.0,10.0,9.0,7.0,5.0,5.0,"Neither easy nor difficult","Remote Work",Male,"United States",Masters,"Tech / IT",Other,150000,225000,187500.0000,R,2022-06-10,33,33,31-35,"White / Caucasian"
62a353565d257a28a30da59f,Yes,2.0,3.0,3.0,3.0,2.0,4.0,"Neither easy nor difficult","Good Work/Life Balance",Female,Egypt,Bachelors,"Finance / Banking","Data Analyst",0,40000,20000.0000,SQL,2022-06-10,22,22,21-25,"Asian / Asian American"
62a353f07dc029e2d66c1783,No,3.0,5.0,5.0,4.0,4.0,5.0,"Neither easy nor difficult","Better Salary",Male,India,Bachelors,"Tech / IT","Student / Job Seeker",0,40000,20000.0000,Python,2022-06-10,27,27,26-30,Other
62a3545e0f8c8599d5af474b,Yes,8.0,8.0,8.0,8.0,10.0,10.0,Easy,"Good Work/Life Balance",Male,"United States",Bachelors,Construction,"Data Analyst",106000,125000,115500.0000,"Power Query / DAX",2022-06-10,37,37,36-40,"Not Specified"
62a35472cec54911e9ca82bc,No,3.0,4.0,5.0,5.0,4.0,3.0,Difficult,"Better Salary",Male,"United States",Masters,"Supply Chain","Data Analyst",41000,65000,53000.0000,R,2022-06-10,24,24,21-25,"White / Caucasian"
62a354bdb4da29969c631700,No,1.0,4.0,3.0,2.0,0.0,6.0,Difficult,"Better Salary",Male,"United Kingdom",Masters,Healthcare,"Data Analyst",41000,65000,53000.0000,R,2022-06-10,25,25,21-25,"Asian / Asian American"
62a354e9cf255543173031ed,No,8.0,10.0,8.0,8.0,9.0,10.0,"Neither easy nor difficult","Good Culture",Male,"United States",Masters,Healthcare,"Data Engineer",86000,105000,95500.0000,R,2022-06-10,28,28,26-30,"Black / African"
62a35541f3072dd892625517,Yes,5.0,5.0,7.0,7.0,7.0,7.0,Easy,"Better Salary",Male,"United Kingdom",Bachelors,"Energy & Utilities","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,32,32,31-35,"White / Caucasian"
62a355445d257a28a30dab12,Yes,0.0,7.0,7.0,7.0,0.0,7.0,Easy,"Good Culture",Male,"United States",Bachelors,"Government / Non-Profit","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,29,29,26-30,"Asian / Asian American"
62a35631cf25554317303425,No,7.0,5.0,8.0,6.0,5.0,10.0,Difficult,Other,Female,Australia,Masters,Healthcare,"Data Analyst",41000,65000,53000.0000,R,2022-06-10,26,26,26-30,"White / Caucasian"
62a357390a77c1a77f65f189,Yes,0.0,7.0,5.0,0.0,0.0,7.0,"Neither easy nor difficult","Remote Work",Male,Canada,Masters,"Tech / IT","Data Engineer",41000,65000,53000.0000,Python,2022-06-10,37,37,36-40,"White / Caucasian"
62a3578b0a77c1a77f65f279,No,4.0,6.0,5.0,4.0,5.0,6.0,"Neither easy nor difficult","Better Salary",Male,"United States",Bachelors,"Supply Chain","Data Analyst",41000,65000,53000.0000,R,2022-06-10,25,25,21-25,"White / Caucasian"
62a357d30f8c8599d5af4ea3,No,4.0,4.0,5.0,6.0,6.0,0.0,Difficult,"Better Salary",Male,Israel,"High School","Finance / Banking","Data Analyst",0,40000,20000.0000,SQL,2022-06-10,24,24,21-25,"White / Caucasian"
62a3582e575fa3a5ae88e506,No,7.0,8.0,8.0,8.0,7.0,8.0,Easy,"Better Salary",Male,"United States",Bachelors,"Finance / Banking","Data Analyst",125000,150000,137500.0000,SQL,2022-06-10,52,52,50+,"White / Caucasian"
62a35878575fa3a5ae88e5d5,Yes,6.0,10.0,3.0,5.0,0.0,10.0,Difficult,"Good Culture",Male,Singapore,Bachelors,"Finance / Banking","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,27,27,26-30,"Asian / Asian American"
62a35981bae91e4b8b8323dd,No,6.0,6.0,3.0,3.0,3.0,3.0,"Neither easy nor difficult","Better Salary",Female,"United States",Masters,Healthcare,"Data Analyst",106000,125000,115500.0000,Other,2022-06-10,29,29,26-30,"White / Caucasian"
62a35a2c7dc029e2d66c2519,No,3.0,7.0,6.0,7.0,0.0,0.0,Difficult,"Better Salary",Male,Brazil,Associates,"Tech / IT","Student / Job Seeker",0,40000,20000.0000,Python,2022-06-10,42,42,41-50,"White / Caucasian"
62a35aa2f8d5efcc22f8075d,Yes,3.0,5.0,6.0,4.0,3.0,7.0,Difficult,Other,Male,"United States",Masters,"Retail / E-Commerce","Data Analyst",41000,65000,53000.0000,R,2022-06-10,28,28,26-30,"White / Caucasian"
62a35ababae91e4b8b83269d,Yes,8.0,8.0,8.0,8.0,8.0,9.0,"Neither easy nor difficult","Good Work/Life Balance",Male,"Costa Rica",Bachelors,"Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,44,44,41-50,"Hispanic / Latino"
62a35ae0575fa3a5ae88ea98,Yes,5.0,5.0,6.0,5.0,6.0,7.0,"Neither easy nor difficult","Remote Work",Male,Spain,Bachelors,"Tech / IT","Data Engineer",0,40000,20000.0000,Python,2022-06-10,23,23,21-25,"White / Caucasian"
62a35ae87dc029e2d66c279b,No,1.0,2.0,6.0,4.0,2.0,0.0,Easy,"Better Salary",Male,"United States",Bachelors,Entertainment,"Data Analyst",41000,65000,53000.0000,R,2022-06-10,27,27,26-30,"Hispanic / Latino"
62a35b13bc6861bf31770188,No,3.0,3.0,3.0,2.0,2.0,1.0,"Neither easy nor difficult","Good Culture",Male,"United States",Masters,Construction,"Data Analyst",66000,85000,75500.0000,Python,2022-06-10,26,26,26-30,"White / Caucasian"
62a35b72f408bae018ed76a8,Yes,3.0,4.0,4.0,4.0,1.0,3.0,"Neither easy nor difficult","Better Salary",Male,"United States",Masters,Healthcare,"Data Analyst",86000,105000,95500.0000,Other,2022-06-10,27,27,26-30,"Hispanic / Latino"
62a35b965d257a28a30db899,Yes,0.0,0.0,7.0,1.0,0.0,9.0,Difficult,"Better Salary",Male,Canada,Bachelors,"Retail / E-Commerce","Data Analyst",66000,85000,75500.0000,Python,2022-06-10,33,33,31-35,"Asian / Asian American"
62a35ba3f3072dd892626068,Yes,8.0,10.0,10.0,10.0,10.0,10.0,Easy,"Better Salary",Male,"United States",Bachelors,Aerospace,"Data Analyst",66000,85000,75500.0000,Python,2022-06-10,28,28,26-30,"Hispanic / Latino"
62a35c890a77c1a77f65fdfa,Yes,2.0,8.0,8.0,7.0,6.0,9.0,"Neither easy nor difficult","Better Salary",Male,Kenya,Bachelors,"Tech / IT","Data Analyst",0,40000,20000.0000,R,2022-06-10,32,32,31-35,"Black / African"
62a35d8f575fa3a5ae88efd6,Yes,2.0,4.0,6.0,1.0,1.0,1.0,"Very Difficult","Better Salary",Male,Canada,Associates,"Food & Beverage","Student / Job Seeker",41000,65000,53000.0000,Python,2022-06-10,34,34,31-35,"Asian / Asian American"
62a35d95cf25554317304386,No,10.0,10.0,10.0,8.0,10.0,10.0,Easy,"Good Work/Life Balance",Male,"United States",Bachelors,"Tech / IT","Data Analyst",150000,225000,187500.0000,Python,2022-06-10,28,28,26-30,"Asian / Asian American"
62a35e970a77c1a77f66035a,Yes,2.0,4.0,1.0,3.0,1.0,7.0,"Neither easy nor difficult","Better Salary",Male,India,Bachelors,"Retail / E-Commerce","Data Scientist",125000,150000,137500.0000,Python,2022-06-10,27,27,26-30,"Asian / Asian American"
62a35eabf408bae018ed7cbc,Yes,2.0,4.0,5.0,5.0,4.0,6.0,Difficult,"Better Salary",Male,"United States",Bachelors,"Finance / Banking","Data Engineer",41000,65000,53000.0000,Python,2022-06-10,22,22,21-25,"White / Caucasian"
62a35f0d24a2626027386a8b,No,3.0,3.0,4.0,1.0,2.0,2.0,"Neither easy nor difficult","Better Salary",Male,"United States",Masters,Healthcare,"Data Analyst",66000,85000,75500.0000,Python,2022-06-10,29,29,26-30,"White / Caucasian"
62a35f825d257a28a30dc128,No,8.0,10.0,10.0,8.0,5.0,7.0,"Neither easy nor difficult","Good Work/Life Balance",Female,"United States",Masters,Healthcare,"Data Analyst",66000,85000,75500.0000,Python,2022-06-10,31,31,31-35,"White / Caucasian"
62a35fa0f8f7561645856c35,No,4.0,5.0,5.0,5.0,4.0,4.0,Easy,"Remote Work",Male,"United States",Bachelors,"Tech / IT","Data Analyst",66000,85000,75500.0000,Python,2022-06-10,28,28,26-30,"White / Caucasian"
62a35fc1f8f7561645856c98,No,0.0,0.0,0.0,0.0,0.0,0.0,"Neither easy nor difficult","Good Work/Life Balance",Male,"United States",Masters,Healthcare,"Student / Job Seeker",0,40000,20000.0000,Python,2022-06-10,24,24,21-25,"Asian / Asian American"
62a3602318134ddc75ced6b9,No,4.0,5.0,3.0,4.0,2.0,3.0,Easy,"Good Culture",Male,"United States",Masters,"Government / Non-Profit","Data Analyst",86000,105000,95500.0000,Other,2022-06-10,34,34,31-35,"White / Caucasian"
62a360b8f8f7561645856ec4,No,5.0,3.0,5.0,5.0,4.0,5.0,Difficult,"Better Salary",Male,"United States",Bachelors,"Tech / IT","Data Engineer",86000,105000,95500.0000,Python,2022-06-10,23,23,21-25,"White / Caucasian"
62a360dbd8c00e9f541a16cf,No,10.0,4.0,10.0,10.0,4.0,10.0,"Neither easy nor difficult","Remote Work",Male,Belgium,Masters,Construction,"Student / Job Seeker",41000,65000,53000.0000,Other,2022-06-10,32,32,31-35,"White / Caucasian"
62a36146f8f7561645856ff7,Yes,6.0,8.0,6.0,6.0,8.0,10.0,Easy,"Remote Work",Male,Argentina,"High School",Healthcare,"Data Analyst",0,40000,20000.0000,R,2022-06-10,29,29,26-30,"Hispanic / Latino"
62a361af0f8c8599d5af6277,Yes,0.0,0.0,0.0,0.0,0.0,0.0,"Very Difficult","Better Salary",Male,Nigeria,Bachelors,Education,"Data Analyst",0,40000,20000.0000,Python,2022-06-10,34,34,31-35,"Black / African"
62a361cc575fa3a5ae88f908,No,7.0,5.0,5.0,7.0,9.0,10.0,"Very Easy","Remote Work",Male,"United Kingdom",Bachelors,"Finance / Banking","Data Analyst",66000,85000,75500.0000,Python,2022-06-10,24,24,21-25,"White / Caucasian"
62a3620f0f8c8599d5af63a5,No,0.0,10.0,6.0,0.0,0.0,0.0,Difficult,"Better Salary",Male,"United States",Bachelors,"Tech / IT",Other,66000,85000,75500.0000,Python,2022-06-10,30,30,26-30,"Asian / Asian American"
62a36251d8c00e9f541a199e,No,5.0,5.0,6.0,4.0,5.0,5.0,Difficult,"Better Salary",Male,"United States",Masters,Entertainment,"Data Engineer",86000,105000,95500.0000,Python,2022-06-10,24,24,21-25,"Hispanic / Latino"
62a36275bc6861bf31771183,Yes,6.0,8.0,10.0,9.0,7.0,9.0,Easy,"Better Salary",Male,"United States",Bachelors,Insurance,"Data Analyst",41000,65000,53000.0000,Python,2022-06-10,27,27,26-30,Other
62a3636c2e54c9003e536e6b,No,1.0,2.0,4.0,4.0,4.0,5.0,"Neither easy nor difficult","Better Salary",Male,India,Bachelors,"Finance / Banking","Data Analyst",0,40000,20000.0000,Python,2022-06-10,21,21,21-25,"Asian / Asian American"
62a365c2f8d5efcc22f81e2e,No,3.0,5.0,9.0,9.0,,8.0,"Very Difficult",Other,Male,"United Arab Emirates",Masters,"Logistics & Warehousing","Data Analyst",0,40000,20000.0000,Python,2022-06-10,31,31,31-35,"Black / African"
62a365d5d8c00e9f541a20cf,Yes,5.0,7.0,5.0,5.0,5.0,7.0,Difficult,"Better Salary",Male,Egypt,Bachelors,"Retail / E-Commerce","Data Analyst",0,40000,20000.0000,R,2022-06-10,41,41,41-50,"White / Caucasian"
62a3670b575fa3a5ae890422,Yes,0.0,1.0,1.0,0.0,0.0,2.0,Difficult,"Better Salary",Male,India,Bachelors,"Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,25,25,21-25,"Asian / Asian American"
62a3676bb4da29969c633ac7,No,4.0,7.0,8.0,8.0,8.0,9.0,"Neither easy nor difficult","Growth & Learning",Male,Nigeria,Bachelors,"Finance / Banking","Data Analyst",0,40000,20000.0000,Other,2022-06-10,24,24,21-25,"Black / African"
62a36794b4da29969c633b48,No,6.0,5.0,6.0,5.0,6.0,6.0,"Neither easy nor difficult","Better Salary",Male,Somalia,Masters,"Finance / Banking","Data Analyst",0,40000,20000.0000,Python,2022-06-10,30,30,26-30,"Black / African"
62a367d224a2626027387b56,No,7.0,7.0,7.0,,5.0,7.0,"Neither easy nor difficult","Good Work/Life Balance",Male,"United States",Bachelors,"Finance / Banking","Data Analyst",150000,225000,187500.0000,Other,2022-06-10,33,33,31-35,"White / Caucasian"
62a367ed18134ddc75cee697,No,7.0,4.0,10.0,9.0,7.0,10.0,Difficult,"Better Salary",Male,"United States",Bachelors,"Energy & Utilities","Data Analyst",66000,85000,75500.0000,Other,2022-06-10,23,23,21-25,"Hispanic / Latino"
62a36802f8f7561645857e38,Yes,6.0,6.0,6.0,6.0,6.0,6.0,Difficult,"Remote Work",Female,"United Kingdom",Masters,"Tech / IT","Data Analyst",66000,85000,75500.0000,Python,2022-06-10,33,33,31-35,"Asian / Asian American"
62a3684ebc6861bf31771f15,No,4.0,4.0,4.0,4.0,4.0,4.0,"Neither easy nor difficult","Better Salary",Male,"United States",Bachelors,"Finance / Banking","Data Analyst",106000,125000,115500.0000,Python,2022-06-10,25,25,21-25,"White / Caucasian"
62a3688df8f7561645857f7e,No,5.0,5.0,5.0,5.0,5.0,5.0,"Neither easy nor difficult","Remote Work",Female,Kosovo,Masters,"Research & Science","Data Analyst",0,40000,20000.0000,Python,2022-06-10,27,27,26-30,"White / Caucasian"
62a368ee2e54c9003e537e4a,Yes,5.0,10.0,10.0,8.0,10.0,10.0,"Very Easy","Good Work/Life Balance",Male,"United Kingdom",Bachelors,"Finance / Banking","Data Analyst",0,40000,20000.0000,"C / C++",2022-06-10,30,30,26-30,"White / Caucasian"
62a369280a77c1a77f661ad0,Yes,0.0,3.0,,,,6.0,"Neither easy nor difficult","Remote Work",Male,Nigeria,Bachelors,"Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,29,29,26-30,"Black / African"
62a36969f8f756164585821d,Yes,10.0,2.0,8.0,5.0,0.0,6.0,Easy,"Better Salary",Male,India,Masters,Healthcare,Other,0,40000,20000.0000,Python,2022-06-10,25,25,21-25,"Asian / Asian American"
62a3697ff408bae018ed948b,No,7.0,7.0,5.0,7.0,7.0,7.0,Easy,"Remote Work",Male,"United States","High School","Retail / E-Commerce","Data Analyst",86000,105000,95500.0000,None,2022-06-10,40,40,36-40,"Hispanic / Latino"
62a36ac6cf255543173063d8,No,6.0,10.0,8.0,8.0,4.0,4.0,"Neither easy nor difficult","Better Salary",Female,Canada,Bachelors,"Government / Non-Profit","Data Analyst",41000,65000,53000.0000,Other,2022-06-10,29,29,26-30,"Not Specified"
62a36ad1f408bae018ed9793,No,0.0,3.0,3.0,3.0,3.0,,Difficult,"Remote Work",Male,India,Masters,"Not Specified","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,29,29,26-30,"Asian / Asian American"
62a36b6c24a26260273882a2,Yes,1.0,2.0,2.0,3.0,3.0,4.0,"Neither easy nor difficult","Better Salary",Male,Nigeria,Masters,Education,"Data Analyst",0,40000,20000.0000,Python,2022-06-10,28,28,26-30,"Black / African"
62a36b862e54c9003e5383c6,No,5.0,2.0,0.0,2.0,0.0,0.0,"Neither easy nor difficult","Good Work/Life Balance",Male,"United Kingdom",Bachelors,hospitality,Other,86000,105000,95500.0000,"C / C++",2022-06-10,34,34,31-35,"White / Caucasian"
62a36d12f8d5efcc22f82cd8,No,0.0,4.0,7.0,6.0,7.0,8.0,Easy,"Growth & Learning",Male,Belgium,Masters,"Tech / IT","Student / Job Seeker",0,40000,20000.0000,Python,2022-06-10,24,24,21-25,"White / Caucasian"
62a36d3124a262602738862c,Yes,5.0,8.0,8.0,9.0,7.0,9.0,"Very Easy","Better Salary",Male,Iraq,Bachelors,"Retail / E-Commerce","Data Analyst",0,40000,20000.0000,Python,2022-06-10,26,26,26-30,Other
62a36e470a77c1a77f662470,No,10.0,5.0,10.0,10.0,6.0,10.0,Difficult,"Good Work/Life Balance",Male,"United States",Bachelors,"Tech / IT","Data Analyst",125000,150000,137500.0000,Python,2022-06-10,28,28,26-30,"Hispanic / Latino"
62a36e7024a262602738890a,No,5.0,4.0,4.0,4.0,5.0,5.0,Difficult,"Good Work/Life Balance",Male,Germany,Masters,Education,"Student / Job Seeker",0,40000,20000.0000,R,2022-06-10,25,25,21-25,"White / Caucasian"
62a36fe67dc029e2d66c5303,Yes,1.0,4.0,9.0,7.0,8.0,10.0,Easy,"Better Salary",Male,Colombia,Bachelors,"Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,33,33,31-35,"Hispanic / Latino"
62a3701f575fa3a5ae89164e,Yes,4.0,4.0,6.0,3.0,4.0,0.0,"Neither easy nor difficult","Remote Work",Male,Ireland,Masters,"Finance / Banking","Data Analyst",66000,85000,75500.0000,Python,2022-06-10,30,30,26-30,"White / Caucasian"
62a370635d257a28a30de5eb,Yes,1.0,1.0,1.0,1.0,1.0,1.0,"Very Difficult","Better Salary",Male,India,Bachelors,"Finance / Banking","Data Analyst",0,40000,20000.0000,Python,2022-06-10,35,35,31-35,"Asian / Asian American"
62a37128d8c00e9f541a39dd,No,5.0,2.0,5.0,5.0,3.0,4.0,Difficult,"Better Salary",Male,Romania,Bachelors,Automotive,"Data Analyst",0,40000,20000.0000,None,2022-06-10,25,25,21-25,"White / Caucasian"
